path_id,cliff_position,candidate_token_id
GSM1K_209_path_0,169,972
GSM1K_704_path_0,71,4320
GSM1K_704_path_0,73,220
test/algebra/1072.json_path_0,278,315
test/algebra/2023.json_path_0,7,1505
test/algebra/2023.json_path_0,32,734
test/algebra/2023.json_path_0,79,2638
test/algebra/2023.json_path_0,168,791
test/algebra/2157.json_path_0,36,439
test/algebra/2232.json_path_0,92,94310
test/algebra/224.json_path_0,237,3
test/algebra/2593.json_path_0,29,61
test/algebra/346.json_path_0,68,15437
test/algebra/346.json_path_0,84,26101
test/algebra/478.json_path_0,41,279
test/algebra/478.json_path_0,177,605
test/algebra/694.json_path_0,37,6437
test/counting_and_probability/1009.json_path_0,50,11
test/counting_and_probability/1060.json_path_0,35,21
test/counting_and_probability/230.json_path_0,162,2684
test/counting_and_probability/230.json_path_0,164,1403
test/geometry/106.json_path_0,167,323
test/geometry/106.json_path_0,197,320
test/geometry/106.json_path_0,198,87
test/geometry/178.json_path_0,184,12834
test/geometry/178.json_path_0,236,18622
test/geometry/178.json_path_0,609,220
test/geometry/615.json_path_0,144,31023
test/geometry/615.json_path_0,164,1144
test/geometry/65.json_path_0,485,400
test/geometry/795.json_path_0,63,584
test/geometry/795.json_path_0,146,10155
test/geometry/795.json_path_0,192,32816
test/intermediate_algebra/1151.json_path_0,97,1505
test/intermediate_algebra/1151.json_path_0,128,38520
test/intermediate_algebra/1151.json_path_0,576,17
test/intermediate_algebra/1247.json_path_0,328,17
test/intermediate_algebra/1247.json_path_0,342,76198
test/intermediate_algebra/1247.json_path_0,375,3
test/intermediate_algebra/128.json_path_0,133,10535
test/intermediate_algebra/446.json_path_0,146,7645
test/number_theory/1287.json_path_0,142,40821
test/number_theory/1287.json_path_0,383,16
test/number_theory/521.json_path_0,32,743
test/prealgebra/1247.json_path_0,42,304
test/prealgebra/1297.json_path_0,33,279
test/prealgebra/1297.json_path_0,309,8785
test/prealgebra/1297.json_path_0,338,20
test/prealgebra/1686.json_path_0,16,6928
test/prealgebra/1686.json_path_0,97,9547
test/prealgebra/1730.json_path_0,176,7184
test/prealgebra/1730.json_path_0,254,11
test/prealgebra/1807.json_path_0,121,379
test/prealgebra/192.json_path_0,51,64002
test/prealgebra/65.json_path_0,72,2736
test/precalculus/285.json_path_0,353,220
